Nom_du_festival,Code_postal_(de_la_commune_principale_de_deroulement),Commune_principale_de_deroulement,Region_principale_de_deroulement,Annee_de_creation_du_festival,Discipline_dominante,Site_internet_du_festival,Latitude,Longitude,Debut,Fin
La Festive,23150,Moutier-d'Ahun,Nouvelle-Aquitaine,2016,"Arts visuels, arts numériques",https://lametive.fr/events/festive-2021/,46.0997586109,2.0630190962,janvier,juin
Festivalito,30310,Vergeze,Occitanie,2016,Spectacle vivant,https://lav-lac.org/festivalito/,43.7375360363,4.23360990528,juin,septembre
Voix D'Enfants / Espace Scénique,70000,Vesoul,Bourgogne-Franche-Comté,2012,Spectacle vivant,https://www.theatre-edwige-feuillere.fr/,47.6320408648,6.1548458149,janvier,juin
Mulhouse 021 - Biennale De La Jeune Creation Contemporaine,68200,Mulhouse,Grand Est,2008,"Arts visuels, arts numériques",http://biennale-jeunes-createurs-mulhouse.com/,47.749163303,7.32570047509,janvier,juin
La Tawa À Planfoy,42660,Planfoy,Auvergne-Rhône-Alpes,2011,Musique,www.latawa.fr,45.3861155626,4.431442219,juin,septembre
Rock’N Road Festival,38220,Vizille,Auvergne-Rhône-Alpes,2011,Musique,www.mpavizille.fr,45.075027515,5.77956710747,janvier,juin
Festival International D'Orgue En Charente,16330,Vouharte,Nouvelle-Aquitaine,1995,Musique,http://www.orgue-en-charente.fr/,45.807659891,0.0797642978998,septembre,décembre
Le Bazardier,54000,Nancy,Grand Est,2015,Musique,www.lebazardier.com,48.6901995499,6.17588254434,septembre,décembre
Scènes En Nord,59118,Wambrechies,Hauts-de-France,2016,Musique,https://scenesennord.com,50.6957054596,3.0473159475,janvier,juin
Nature Nomade,44000,Nantes,Pays de la Loire,2016,"Livre, littérature",naturenomade.fr,47.2316356767,-1.54831008605,septembre,décembre
Chantons Sous Les Pins,40460,Pontonx-sur-l'Adour,Nouvelle-Aquitaine,1998,Musique,http://www.chantonssouslespins.fr/,43.7980252651,-0.940526888731,janvier,juin
Les Murs Ont Des Oreilles,79600,Airvault,Nouvelle-Aquitaine,2004,Musique,http://festivallesmursontdesoreilles.fr/,46.8329725103,-0.135880248296,juin,septembre
Légendes Urbaines,13100,Aix-en-Provence,Provence-Alpes-Côte d'Azur,2016,Spectacle vivant,larueestverslart.fr/,43.5360708378,5.39857444582,septembre,décembre
Mômes En Scène,67110,Niederbronn-les-Bains,Grand Est,2005,Spectacle vivant,www.reseau-animation.com,48.9638157112,7.63986093383,juin,septembre
Les Instants D'Été,13100,Aix-en-Provence,Provence-Alpes-Côte d'Azur,2005,"Cinéma, audiovisuel",www.aixenprovence.fr,43.5360708378,5.39857444582,juin,septembre
Festival Bernard Dimey,52800,Nogent,Grand Est,2000,Musique,www.festival-bernard-dimey.fr,48.037521428,5.36502804198,janvier,juin
Cratère/Surfaces,30104,Alès-en-Cévennes,Occitanie,1999,Spectacle vivant,https://cratere-surfaces.com/,44.1250099126,4.08828501262,juin,septembre
Festival De L'Humour De Noyelles-Sous-Lens,62221,Noyelles-sous-Lens,Hauts-de-France,2011,Spectacle vivant,https://www.infolocale.fr/collectivites-institutions/mairie-de-noyelles-sous-lens-482130/evenement-noyelles-sous-lens-spectacle-11e-festival-de-lhumour-7444137,50.4286822706,2.87559653416,janvier,juin
Festival D'Anères,65150,Anères,Occitanie,1999,"Cinéma, audiovisuel",http://www.festival-aneres.fr,43.0760669312,0.464444450073,janvier,juin
Festival Des Cultures Numériques Et Mangas,26110,Nyons,Auvergne-Rhône-Alpes,2017,Pluridisciplinaire,https://www.nyons.com/sorties-actus/agenda/festival-des-cultures-numeriques-et-du-manga,44.3564879814,5.12880832,septembre,décembre
Pop Terrasse,64000,Anglet,Nouvelle-Aquitaine,2016,Musique,http://www.anglet.fr/,43.4917846595,-1.51623373371,juin,septembre
Festival De Musique D'Obernai,67210,Obernai,Grand Est,2010,Musique,https://www.festivalmusiqueobernai.com/fr/,48.4593467321,7.48006434701,juin,septembre
Les Concerts De L'Été,83191,Ollioules,Provence-Alpes-Côte d'Azur,1995,"Livre, littérature",www.ollioules.fr,43.1386133658,5.85369204547,juin,septembre
Festival Du Film Francophone D'Angoulême,16000,Angoulême,Nouvelle-Aquitaine,2008,"Cinéma, audiovisuel",http://www.filmfrancophone.fr/,45.6472585146,0.14514490683,juin,septembre
Festival Son De Glane,87520,Oradour-sur-Glane,Nouvelle-Aquitaine,2016,Spectacle vivant,https://www.facebook.com/sondeglane/,45.9310728054,1.02303381376,septembre,décembre
